0.62, 0.63, 1.40, 4829
0.67, 0.54, 1.45, 4842
0.76, 0.13, 1.12, 4854
0.82, -0.03, 0.81, 4867
0.89, -0.08, 0.50, 4880
0.97, -0.07, 0.48, 4893
1.19, 0.16, 0.39, 4905
1.32, 0.40, 0.23, 4918
1.30, 0.26, 0.15, 4931
1.23, 0.25, 0.16, 4944
1.19, 0.27, 0.24, 4956
1.16, 0.29, 0.21, 4969
1.19, 0.36, 0.16, 4982
1.18, 0.12, -0.10, 4995
1.21, 0.08, -0.15, 5007
1.28, 0.12, 0.08, 5020
1.40, 0.32, 0.31, 5033
1.53, 0.33, 0.34, 5046
1.64, -0.12, 0.20, 5058
1.72, -0.30, 0.03, 5071
2.00, 0.41, -0.20, 5084
2.17, 0.71, -0.29, 5099
2.52, 0.89, -0.38, 5111
2.58, 0.95, -0.22, 5124
2.44, 1.01, -0.03, 5137
2.26, 1.22, 0.28, 5150
2.14, 1.27, 0.52, 5162
1.91, 0.80, 0.51, 5175
1.56, 0.45, 0.43, 5188
1.27, 0.27, 0.45, 5201
0.82, 0.19, 0.59, 5213
0.61, 0.27, 0.80, 5283
0.49, 0.52, 0.99, 5295
0.47, 0.65, 0.80, 5308
0.47, 0.59, 0.60, 5321
0.41, 0.45, 0.31, 5334
0.42, 0.44, 0.13, 5346
0.52, 0.46, -0.04, 5359
0.55, 0.36, -0.03, 5372
0.62, 0.27, 0.05, 5385
0.70, 0.67, 0.16, 5397
0.70, 0.72, 0.10, 5410
0.67, 0.71, -0.04, 5428
0.65, 0.79, -0.34, 5441
0.61, 0.62, -0.45, 5453
0.60, 0.58, -0.37, 5466
0.66, 0.64, -0.14, 5479
0.70, 0.49, 0.03, 5492
0.75, 0.26, 0.26, 5504
0.81, 0.36, 0.59, 5517
0.84, 0.45, 0.91, 5530
0.73, 0.33, 1.31, 5543
0.68, 0.37, 1.38, 5555
0.70, 0.47, 1.15, 5568
0.72, 0.36, 0.97, 5581
0.78, 0.36, 0.69, 5594
0.90, 0.53, 0.44, 5606
0.97, 0.39, 0.20, 5619
0.95, 0.35, 0.08, 5632
1.08, 0.53, -0.16, 5645
1.16, 0.49, -0.21, 5657
1.07, 0.29, -0.04, 5670
0.94, 0.45, 0.19, 5683
0.90, 0.55, 0.15, 5754
1.16, 0.19, 0.65, 5767
1.13, 0.22, 0.84, 5780
0.92, 0.29, 0.94, 5793
0.85, 0.11, 0.83, 5805
0.94, -0.12, 0.71, 5818
1.08, 0.04, 0.74, 5831
1.29, 0.42, 0.53, 5843
1.33, 0.49, 0.38, 5856
1.12, 0.39, 0.41, 5869
0.87, 0.54, 0.35, 5882
0.82, 0.52, 0.24, 5894
